"dataset_generation_date","ceg_core_id","ceg_code","generation_type","fuel_source","plant_name","plant_state","system_description","unit_number","authorized_power_kw","test_released_power_kw","commercial_released_power_kw","energy_market","test_operation_start_granted_date","test_operation_release_date","test_dispatch_number","commercial_operation_start_granted_date","commercial_operation_release_date","commercial_dispatch_number","commercial_operation_release_year","is_northeast"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","1","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","2","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","3","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","4","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","5","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","6","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","7","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","32091","EOL.CV.BA.032091-9.1","EOL","E�lica","Angelim","BA","Sistema Interligado Nacional","8","2700","2700","2700","Fora do ACR","2015-08-02","2022-06-16","16062022","2015-09-01","2022-08-05","21172022","2022","True"
"2026-03-20","30732","EOL.CV.BA.030732-7.1","EOL","E�lica","Angical","BA","Sistema Interligado Nacional","1 a 7","12,95","12950","12950","ACR","2014-06-01","2016-01-08","","2014-07-01","2016-02-05","","2016","True"
"2026-03-20","31435","EOL.CV.BA.031435-8.1","EOL","E�lica","Angical 2","BA","Sistema Interligado Nacional","1 a 5","10","10000","10000","ACR","2015-06-08","2019-05-29","","2015-08-01","2019-09-17","","2019","True"
